Job_ID,Company,Job_Title,Location,Job_Type,Experience_Level,Salary_Range,Detected_Skills,Skills_Count,Skill_Categories,Scraped_Date
JOB_001,Lemon.io,Senior DevOps Engineer,"Americas, Europe, Asia, Oceania",Remote,Senior,", Eur","AWS, Android, Angular, Azure, Blockchain, C#, C++, Data Science, DevOps, Flask, GCP, Java, JavaScript, Kubernetes, Laravel, Machine Learning, Next.js, Node.js, Nuxt, PHP, Python, React, React Native, Ruby, Ruby on Rails, Rust, SQL, Spring, Svelte, Terraform, TypeScript, Vue, iOS",33,"{""Languages"": [""C#"", ""C++"", ""Java"", ""JavaScript"", ""PHP"", ""Python"", ""Ruby"", ""Rust"", ""TypeScript""], ""Frontend"": [""Angular"", ""Next.js"", ""React"", ""Svelte"", ""Vue""], ""Backend"": [""Flask"", ""Laravel""], ""Cloud & DevOps"": [""AWS"", ""Azure"", ""GCP"", ""Kubernetes"", ""Terraform""], ""Data & ML"": [""Machine Learning""], ""Mobile"": [""Android"", ""React Native"", ""iOS""]}",2026-05-01 22:29:15
JOB_002,Vonage,Strategic Business Development Consultant,Spain,Remote,Senior,Not specified,,0,{},2026-05-01 22:29:17
JOB_003,Ströer X GmbH,Teamleiter Servicetechniker Gebäudetechnik (m/w/d),Hamburg,Remote,Not specified,Not specified,,0,{},2026-05-01 22:29:19
JOB_001,Lemon.io,Senior DevOps Engineer,"Americas, Europe, Asia, Oceania",Remote,Senior,", Eur","AWS, Android, Angular, Azure, Blockchain, C#, C++, Data Science, DevOps, Flask, GCP, Java, JavaScript, Kubernetes, Laravel, Machine Learning, Next.js, Node.js, Nuxt, PHP, Python, React, React Native, Ruby, Ruby on Rails, Rust, SQL, Spring, Svelte, Terraform, TypeScript, Vue, iOS",33,"{""Languages"": [""C#"", ""C++"", ""Java"", ""JavaScript"", ""PHP"", ""Python"", ""Ruby"", ""Rust"", ""TypeScript""], ""Frontend"": [""Angular"", ""Next.js"", ""React"", ""Svelte"", ""Vue""], ""Backend"": [""Flask"", ""Laravel""], ""Cloud & DevOps"": [""AWS"", ""Azure"", ""GCP"", ""Kubernetes"", ""Terraform""], ""Data & ML"": [""Machine Learning""], ""Mobile"": [""Android"", ""React Native"", ""iOS""]}",2026-05-01 22:31:52
JOB_002,Bulldog Digital Media,Operations software assistant,"Europe, European timezones",Remote,Not specified,"$12k - $19k (35 hrs/week, freelance)",,0,{},2026-05-01 22:31:52
JOB_003,Lemon.io,Head of Engineering,"USA timezones, European timezones",Not specified,Senior,", Eur",,0,{},2026-05-01 22:31:53
JOB_004,EverAI,Mid/Senior AI Video Artist,Worldwide,Remote,Senior,-,Hugging Face,1,{},2026-05-01 22:31:53
JOB_005,TELUS Digital,Content Reviewer - US,USA,Not specified,Not specified,$14/hour,"Android, go, iOS, machine learning",4,"{""Mobile"": [""Android"", ""iOS""]}",2026-05-01 22:31:53
JOB_006,Vonage,Strategic Business Development Consultant,Spain,Remote,Senior,Not specified,,0,{},2026-05-01 22:31:56
JOB_007,Haast,Founding Engineer,New York ,Remote,Not specified,220k USD,"Go, Python, go",3,"{""Languages"": [""Go"", ""Python""]}",2026-05-01 22:31:56
JOB_008,Imagine Pediatrics,Staff Data Engineer,United States,Hybrid,Senior,Not specified,,0,{},2026-05-01 22:31:56
JOB_009,Garner Health,Business Development Representative,Remote,Remote,Not specified,Not specified,,0,{},2026-05-01 22:31:57
JOB_010,Hostaway,Sales Development Representative North America June Hiring Class,Remote,Remote,Senior,Not specified,,0,{},2026-05-01 22:31:57
JOB_011,Ströer X GmbH,Teamleiter Servicetechniker Gebäudetechnik (m/w/d),Hamburg,Remote,Not specified,Not specified,,0,{},2026-05-01 22:31:59
JOB_012,The Bike Club,Customer Service Spezialist,Berlin,Not specified,Junior,Not specified,,0,{},2026-05-01 22:31:59
JOB_013,DSEV Consulting & Akademie GmbH,"Consultant (m/w/d) Datenschutz & Informationssicherheit (Teilzeit, Remote)",Augsburg,Remote,Not specified,Not specified,,0,{},2026-05-01 22:31:59
JOB_014,Auralis Group,Dynamics 365 Consultant & Engineer (m/w/d) mit Karriereambitionen!,Markt Indersdorf,Remote,Not specified,Not specified,"Azure, C#, JavaScript",3,"{""Languages"": [""C#"", ""JavaScript""], ""Cloud & DevOps"": [""Azure""]}",2026-05-01 22:32:00
JOB_015,Auralis Group,Java Softwareentwickler:in mit Karriereambitionen - jetzt mit uns voll durchstarten!,Markt Indersdorf,Remote,Not specified,Not specified,"AWS, Angular, Azure, GCP, Java, Kotlin, React, Spring, Spring Boot, Vue",10,"{""Languages"": [""Java"", ""Kotlin""], ""Frontend"": [""Angular"", ""React"", ""Vue""], ""Backend"": [""Spring Boot""], ""Cloud & DevOps"": [""AWS"", ""Azure"", ""GCP""]}",2026-05-01 22:32:00
