Job_ID,Company,Job_Title,Location,Job_Type,Experience_Level,Salary_Range,Detected_Skills,Skills_Count,Skill_Categories,Scraped_Date,detected_skills,skills_count,skill_categories
JOB_001,Lemon.io,Senior DevOps Engineer,"Americas, Europe, Asia, Oceania",Remote,Senior,", Eur","AWS, Android, Angular, Azure, Blockchain, C#, C++, Data Science, DevOps, Flask, GCP, Java, JavaScript, Kubernetes, Laravel, Machine Learning, Next.js, Node.js, Nuxt, PHP, Python, React, React Native, Ruby, Ruby on Rails, Rust, SQL, Spring, Svelte, Terraform, TypeScript, Vue, iOS",33,"{""Languages"": [""C#"", ""C++"", ""Java"", ""JavaScript"", ""PHP"", ""Python"", ""Ruby"", ""Rust"", ""TypeScript""], ""Frontend"": [""Angular"", ""Next.js"", ""React"", ""Svelte"", ""Vue""], ""Backend"": [""Flask"", ""Laravel""], ""Cloud & DevOps"": [""AWS"", ""Azure"", ""GCP"", ""Kubernetes"", ""Terraform""], ""Data & ML"": [""Machine Learning""], ""Mobile"": [""Android"", ""React Native"", ""iOS""]}",2026-05-02 02:48:51,,0,
JOB_002,Bulldog Digital Media,Operations software assistant,"Europe, European timezones",Remote,Not specified,"$12k - $19k (35 hrs/week, freelance)",,0,{},2026-05-02 02:48:51,,0,
JOB_003,Lemon.io,Head of Engineering,"USA timezones, European timezones",Not specified,Senior,", Eur",,0,{},2026-05-02 02:48:51,,0,
JOB_004,EverAI,Mid/Senior AI Video Artist,Worldwide,Remote,Senior,-,Hugging Face,1,{},2026-05-02 02:48:51,,0,
JOB_005,TELUS Digital,Content Reviewer - US,USA,Not specified,Not specified,$14/hour,"Android, go, iOS, machine learning",4,"{""Mobile"": [""Android"", ""iOS""]}",2026-05-02 02:48:51,,0,
JOB_006,Dry Ground AI,AI Engineer,"Brazil, Colombia, Philippines",Remote,Junior,$40- $60k,"CI/CD, Hugging Face, LangChain, Langchain, PyTorch, Python, REST, Scikit-learn, Spark, TensorFlow, algorithms, machine learning",12,"{""Languages"": [""Python""], ""Data & ML"": [""PyTorch"", ""Scikit-learn"", ""Spark"", ""TensorFlow""]}",2026-05-02 02:48:51,,0,
JOB_007,AutoHDR,Customer Retention Manager,USA,Not specified,Not specified,Not specified,,0,{},2026-05-02 02:48:51,,0,
JOB_008,AutoHDR,Customer Support Representative,USA,Not specified,Not specified,Not specified,,0,{},2026-05-02 02:48:51,,0,
JOB_009,A.Team,Senior Independent AI Engineer / Architect,"Americas, Europe, Israel",Not specified,Senior,$120 - $170 /hour,,0,{},2026-05-02 02:48:51,,0,
JOB_010,A.Team,Senior Independent Software Developer,"Americas, Europe, Israel",Not specified,Senior,$90 - $150 /hour,Go,1,"{""Languages"": [""Go""]}",2026-05-02 02:48:51,,0,
